team_variant,team_canonical,team_short_name
Royal Challengers Bangalore,Royal Challengers Bengaluru,RCB
Royal Challengers Bengaluru,Royal Challengers Bengaluru,RCB
Mumbai Indians,Mumbai Indians,MI
Chennai Super Kings,Chennai Super Kings,CSK
Kolkata Knight Riders,Kolkata Knight Riders,KKR
Sunrisers Hyderabad,Sunrisers Hyderabad,SRH
Delhi Capitals,Delhi Capitals,DC
Delhi Daredevils,Delhi Capitals,DC
Punjab Kings,Punjab Kings,PBKS
Kings XI Punjab,Punjab Kings,PBKS
Rajasthan Royals,Rajasthan Royals,RR
Lucknow Super Giants,Lucknow Super Giants,LSG
Gujarat Titans,Gujarat Titans,GT
